TERYT Powiatu,Powiat,Bezpartyjni,TD,Lewica,PiS,Konfederacja,KO
181600,rzeszowski,2.0085543567037787,12.509134677384687,4.280402355672097,56.068649787215755,10.375918841078107,14.757339981945577
181500,ropczycko-sędziszowski,1.2809345698621715,11.676999538863555,3.573807449915458,62.7452989701286,10.580519547061536,10.142439924168674
181400,przeworski,1.9430726853115616,12.94637317914485,3.9779636201206046,60.41640816934263,8.970891133334987,11.745291212745364
181300,przemyski,2.47887795220701,12.932548866519811,3.4129883166494714,57.71407857680618,9.458215988623373,14.003290299194154
181200,niżański,1.0520946247529173,9.58362558184021,4.09041637441816,62.22342664031116,10.00765159727093,13.042785181406618
181100,mielecki,1.5226679666217418,13.269578183695122,4.612450893241189,54.4977489748516,8.69010409199094,17.407449889599402
181000,łańcucki,1.8069815195071868,12.391056354095369,3.969883641341547,57.67967145790555,10.25325119780972,13.899155829340634
180900,lubaczowski,1.441461679583661,15.90475120745816,7.005129357145531,55.88378449211876,8.251900108577633,11.512973155116253
180800,leżajski,0.8196001522114569,17.51309896671838,2.318297573398121,62.97456312384744,8.541404443403684,7.833035740420923
180700,krośnieński,2.404958538109473,13.3708263667224,4.075256286838594,56.86443397341711,8.68081944233335,14.60370539257908
180600,kolbuszowski,1.2166261124629179,8.433052231592281,4.48651711609613,62.57124762507916,12.60291323622546,10.68964367854405
180500,jasielski,2.0371075495863478,11.904184983903908,3.9669078195853094,59.25438748312506,8.880542767143202,13.956869396656165
180400,jarosławski,2.630491212406792,11.692541705933898,3.9134963543475023,58.80495345799647,8.699965279500024,14.258551989815322
180300,dębicki,1.2456538605212495,11.794201316054137,3.935231746214189,57.19088531938738,9.172150225568231,16.66187753225482
180200,brzozowski,1.5782229698730692,12.457562318397308,3.095274506805322,65.92139470867106,8.5242391803028,8.423306315950452
180100,bieszczadzki,1.5960823433390767,29.8993379885735,4.189716151265077,37.852543756234695,9.240954021946132,17.221365738641516
166100,Opole,1.422391465651206,12.552324686051882,10.845734925590445,22.252866482801103,6.140363157821053,46.78631928208431
161100,strzelecki,2.0420964594368556,15.235572902146641,6.945218845832171,30.816141622525787,7.279760245330359,37.681209924728186
161000,prudnicki,1.8828729281767955,12.039779005524862,6.837569060773481,41.38342541436464,8.022099447513813,29.83425414364641
160900,opolski,1.7048586502874243,15.48350263800299,8.146310733128592,28.62036380817387,7.41987558075439,38.62508858965273
160800,oleski,2.1198364161632837,16.32086444302705,7.488838029490114,37.47045360747383,6.84725922035043,29.75274828349529
160700,nyski,1.391683433936955,11.520638985427718,6.546856898969574,42.04621669410402,7.030059142735199,31.464544844826538
160600,namysłowski,1.571618951334957,18.096594825605443,7.922430035384403,37.59018427461973,7.439915445062267,27.3792564679932
160500,krapkowicki,2.4870160030401554,17.34577545074526,7.596166026263565,28.020098805050036,7.456825571084743,37.09411814381624
160400,kluczborski,1.1272865590096477,18.45153705176528,6.404094194128428,35.761955807600536,6.891662920571251,31.363463466924856
160300,kędzierzyńsko-kozielski,1.8824423612870536,12.148467190271091,7.91233848492526,29.576893843425385,6.3871294654167725,42.09272865467444
160200,głubczycki,1.93845864307895,9.00065869953891,5.420156205890656,46.240707631504655,6.299990590006586,31.100028229980236
160100,brzeski,1.6391619589875894,11.632044837863084,7.555268893732485,38.14776922734754,7.597526800409235,33.42822828166007
146501,Warszawa,1.509162425007615,13.92750405036133,13.077347554111505,22.31526158491632,6.452589803242938,42.71813458236029
146400,Siedlce,2.3417618080362352,14.029558030398542,5.797202960472555,40.88393920291378,8.748336485256006,28.199201512922883
146300,Radom,1.6308621675722046,13.007577923934802,6.364383757506434,40.32742350586217,6.9273663139834145,31.742386331140978
